"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","8","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","74","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","52","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","44","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","17","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","905","931","1","612.065125","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","35","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","17","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","0","0","32","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","0","0","36","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","0","0","24","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","0","0","84","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Rock_Sandstone.M_Rock_Sandstone","0","46","21","1","33.990128","0","46"
"/Water/Materials/WaterSurface/Water_Material.Water_Material","0","363","393","3","938.216614","0","0"
"/Water/Materials/PostProcessing/M_UnderWater_PostProcess_Volume.M_UnderWater_PostProcess_Volume","0","12","12","1","7.308325","0","0"
"/Engine/EngineSky/M_SkyTimeOfDay.M_SkyTimeOfDay","0","0","8","1","0.000000","0","0"
"/Game/MayaImport/wood1.wood1","0","12","12","1","11.149529","0","0"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","0","0","21","1","0.000000","0","0"
"/Game/MayaImport/stone.stone","0","12","12","1","10.778741","0","0"
"/Game/Import/wood.wood","0","12","12","1","11.049476","0","0"
"/Game/StarterContent/Particles/Materials/M_radial_ramp.M_radial_ramp","0","0","32","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","0","32","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","0","0","24","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_Burst.M_Burst","0","0","30","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Concrete_Tiles.M_Concrete_Tiles","0","0","21","1","0.000000","0","0"
"/Game/Import/leaves.leaves","0","12","12","1","10.797094","0","0"
"/Game/StarterContent/Materials/M_Brick_Clay_New.M_Brick_Clay_New","0","0","21","1","0.000000","0","0"
"/Game/Import/sand.sand","0","12","12","1","10.673711","0","0"
"/Game/Import/textile.textile","0","12","12","1","10.750298","0","0"
"/Game/Import/_defaultMat._defaultMat","0","12","12","1","10.861932","0","0"
"/Game/Import/stone.stone","0","12","12","1","11.243382","0","0"
"/Game/Import/iron.iron","0","12","12","1","11.024518","0","0"
"/Game/Import/woodDark.woodDark","0","12","12","1","11.275805","0","0"
"/Game/MayaImport/wood.wood","0","12","12","1","10.732914","0","0"
"/Game/MayaImport/iron.iron","0","12","12","1","10.485992","0","0"
"/Game/StarterContent/Props/Materials/M_Rock.M_Rock","0","0","21","1","0.000000","0","0"
"/Water/Materials/Brushes/MeshBrush_Width.MeshBrush_Width","0","2","2","1","1.581802","0","0"
"/Water/Materials/Brushes/MeshBrush_Weightmap.MeshBrush_Weightmap","0","2","2","1","1.467143","0","0"
"/Water/Materials/Brushes/MeshBrush_Island.MeshBrush_Island","0","2","2","1","1.524894","0","0"
"/Water/Materials/Brushes/MeshBrush_Angle.MeshBrush_Angle","0","2","2","1","1.537133","0","0"
"/Water/Materials/Brushes/FinalizeWaterTexture.FinalizeWaterTexture","0","8","8","1","6.366107","0","0"
"/Water/Materials/Brushes/CompositeWaterBodyTexture.CompositeWaterBodyTexture","0","8","8","1","6.153497","0","0"
"/Water/Materials/Brushes/CanvasDrawing.CanvasDrawing","0","10","10","1","6.646040","0","0"
"/Landmass/Landscape/BlueprintBrushes/Materials/RenderSplineDepths.RenderSplineDepths","0","4","4","1","2.770394","0","0"
"/Landmass/Landscape/BlueprintBrushes/Materials/CacheDistanceField.CacheDistanceField","0","8","8","1","7.505729","0","0"
"/Landmass/DistanceFields/Materials/JumpFloodStep.JumpFloodStep","0","8","8","1","6.476397","0","0"
"/Landmass/DistanceFields/Materials/DetectEdges.DetectEdges","0","8","8","1","7.966237","0","0"
"/Landmass/DistanceFields/Materials/BlurEdges.BlurEdges","0","8","8","1","5.768411","0","0"
